Controlled Substances Schedule I,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056,Etorphine (except hydrochloride salt) 9056
11,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200,Heroin 9200
12,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301,Hydromorphinol 9301
13,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302,Methyldesorphine 9302
14,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304,Methylhydromorphine 9304
15,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305,Morphine methylbromide 9305
16,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306,Morphine methylsulfonate 9306
17,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307,Morphine-N-Oxide 9307
18,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308,Myrophine 9308
19,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309,Nicocodeine 9309
20,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312,Nicomorphine 9312
21,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313,Normorphine 9313
22,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314,Pholcodine 9314
23,,,,,"Drotebanol (August 6, 1973)9335",Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315,Thebacon 9315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Hallucinogenic substances,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,"3,4-methylenedioxy amphetamine 7400","3,4-methylenedioxy amphetamine 7400","3,4-methylenedioxy amphetamine 7400","3,4-methylenedioxy amphetamine 7400","3,4-methylenedioxy amphetamine 7400","3,4-methylenedioxy amphetamine 7400","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","4-bromo-2,5-dimethoxy-amphetamine (Some trade or other names: 4-bromo-2,5dimethoxy-_-methylphenethylamine; 4 - bromo-2,5-DMA.)) 7391","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 ","alpha-ethyltryptamine, its optical isomers, salts and salts of isomers (some other names: etryptamine; _-ethyl-1H-indole-3-ethanamine; 3-(2-aminobutyl) indole.) 7249 "
